track_names,embedding_dim_1,embedding_dim_2,embedding_dim_3,embedding_dim_4,embedding_dim_5,embedding_dim_6,embedding_dim_7,embedding_dim_8,embedding_dim_9,embedding_dim_10,embedding_dim_11,embedding_dim_12
"Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 3. Allegro | Bach: Prelude in B minor, BWV 855a (Arr. by Alexander Siloti) | Étude No. 8: Through the Window | Ravel: Pavane pour une infante défunte, M. 19 | Adagio in G Minor (Arr. for Harp and Orchestra)",0.22220612,-0.31538025,-0.45205244,-0.4254628,-0.085535824,0.13779487,0.29994148,0.54806095,-0.18165474,0.10935736,-0.06400894,-0.009773362
"Grieg: Peer Gynt, Op. 23, Act 3: No. 12, The Death of Åse | Cats: Memory | Goldberg Variations, BWV 988: Variation 1 (Arr. for Harp) | Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio | Elégie in C Minor, Op. 24 (Arr. Parkin for Cello Ensemble)",0.24213408,-0.13913637,-0.44880116,-0.40241796,-0.18668827,0.49591282,0.2257786,0.44402933,-0.11871715,0.07106486,-0.10281188,-0.0039104205
"Children's Song No. 1 (Arr. for guitar by Forbes Henderson) - Classical Session | Pathos | The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano) | Suite No. 3 in D Major, BWV 1068: II. Air | Feed the Birds - From ""Mary Poppins""",0.077045314,-0.39601678,-0.24074836,-0.4663728,-0.16060627,0.24956404,0.27200258,0.5618774,-0.19395164,0.16765021,-0.13090602,-0.03380652
"Misty - Piano Solo | Kindness | Lieder ohne Worte, Op. 19, No. 1 | Silent Woods, Op. 68/5 - version for Cello and Piano: Silent Woods, Op. 68/5, B. 173 | Grieg: Peer Gynt, Op. 23, Act 4: No. 13, Prelude. Morning Mood",0.21948358,-0.28400943,-0.39616758,-0.3067914,-0.23160443,0.17234959,0.35858935,0.57837397,-0.15205608,0.21150152,-0.063838966,-0.041459043
"Má vlast, JB 1:112: II. Vltava ""The Moldau"" | Rêverie, CD 76 (Arr. Cullen for Cello and Orchestra) | Fauré: Pavane, Op. 50 (Instrumental Version) | Mélodie, Op. 20, No. 1 | Cathedral",0.19031315,-0.3730463,-0.37073708,-0.3027746,-0.17978051,0.15663196,0.30766222,0.63074857,-0.18089466,0.08106844,-0.037516735,-0.07377025
"Préludes / Book 2, L. 123: 5. Bruyères - Home Session | Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam | Holberg Suite, Op. 40: 4. Air (Andante religioso) | Ouverture-Suite in D Minor, TWV 55:d2: V. Sarabande | Dynamite",0.20563872,-0.65484816,-0.05744097,-0.3436155,-0.40517667,0.026599461,0.039806806,0.27023348,-0.060327094,0.23629726,-0.2746722,0.18195783
"The Planets, Op. 32: I. Mars, the Bringer of War | Peer Gynt Suite No. 2, Op. 55: IV. Solveig's Song | Molino: Duo No. 3, Op. 16: I. Andantino | Orpheo ed Euridice, Wq 30, Act II: Dance of the Blessed Spirits | St. Matthew Passion, BWV 244 / Part Two: ""Erbarme dich""",0.2750007,-0.34407985,-0.44161338,-0.22640838,-0.19525105,0.3462396,0.27415726,0.44700262,-0.24726209,0.20872526,-0.090129666,-0.117872804
"Vampire - Scary String Quartet Version | String Symphony No. 5 in B-Flat Major, MWV N5: II. Andante | Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King | 2 Aquarelles: Lento, ma non troppo | Études, Op. 10: Etude No. 6 in E-Flat Minor, Op. 10, No. 6",0.386816,-0.33155045,-0.2286144,-0.16943477,-0.2830749,0.0069210203,0.32671177,0.49978203,-0.079155646,0.42601782,-0.15628332,-0.10291645
"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo | Poulenc: Cello Sonata, FP 143: II. Cavatine | Piano Concerto No. 6 in B-Flat Major, K. 238: II. Andante un poco adagio | Elgar: Cello Concerto in E Minor, Op. 85: III. Adagio | Suite bergamasque, L. 75: III. Clair de lune",0.20709075,-0.27569163,-0.25694934,-0.46402377,-0.16108036,0.49446204,0.1239536,0.4629073,-0.09711498,0.18524238,-0.23483141,-0.028059423
"Good Luck, Babe! | ICARUS | Reflections | Ave Maria | Cavatina",0.24577416,-0.42570958,-0.19428243,-0.38148898,-0.3525763,0.27260783,0.11408258,0.42965546,-0.042932004,0.29679078,-0.2857222,0.08531215
