track_id,track_name,artist,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s
4EjUFjzi4ErWjklOA3Aslu,Tempo,EXO,59,0.686,0.842,0.0,-4.423,0.1,0.237,0.0,0.0683,0.519,115.944,224.483
5L1D2edlnA2yvnO2IsHMZ0,Dreamweaver: 2. Dreamsong,Ola Gjeilo,43,0.216,0.138,1.0,-18.866,0.0381,0.991,0.868,0.0933,0.04,85.574,173.2
3adnLFXKO5rC1lhUNSeg3N,White Flag,Dido,60,0.509,0.538,5.0,-6.835,0.0379,0.306,5.03e-06,0.091,0.284,170.111,240.6
27xA5HEUnWPBDo0z4hcDq1,Finale,John Williams,36,0.22,0.263,0.0,-14.081,0.0338,0.559,0.897,0.371,0.122,105.105,383.36
2thtN9Qk3PXAMOfOoAcd0q,Turn It Up,Chamillionaire,0,0.859,0.773,7.0,-4.549,0.266,0.00382,0.0,0.129,0.691,166.825,274.227
3RKZzMSV2SAWCeuPYeY0yV,Another Day,Monday Kiz,0,0.506,0.607,6.0,-3.862,0.0281,0.677,2.01e-06,0.195,0.482,143.968,217.973
4CD6Jf096kKD8F0eHK8yCw,"Cello Concerto No. 1, Op. 107: 1. Allegretto",Dmitri Shostakovich,39,0.463,0.162,7.0,-24.484,0.045,0.963,0.825,0.0943,0.374,125.514,359.667
4OEBQV4xuX1n2pcMLzroOB,空空如也,胡66,2,0.602,0.388,6.0,-10.214,0.0293,0.678,0.0,0.177,0.324,135.037,234.695
3cuvXQjn74rLPC0jSVysUK,Astray,Simon Vouet,60,0.492,0.0158,11.0,-28.273,0.0347,0.994,0.881,0.107,0.322,51.579,120.942
3fCkxCmaOwJ8UuZD1N4Okx,말하자면,Kim Sung Jae,47,0.76,0.764,5.0,-9.464,0.037,0.0861,0.0,0.355,0.84,119.627,215.85
12dU3vAh6AFoJkisorfoUl,Don't Look Back In Anger - Remastered,Oasis,73,0.328,0.936,0.0,-3.254,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,289.56
41vZISE1YKLOMY6zt2w8Wa,Under The Bed,Tibeauthetraveler,47,0.71,0.401,4.0,-15.05,0.0357,0.811,0.925,0.234,0.134,138.034,119.237
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,78,0.803,0.512,9.0,-6.871,0.066,0.128,0.0,0.0928,0.435,96.02,161.342
6aGjEZ7kq3YXgD0EDt80O5,Live While We're Young,One Direction,1,0.658,0.837,2.0,-2.063,0.0543,0.0629,0.0,0.0969,0.936,126.015,200.187
30yOjICPST16wWR6KE4IOI,3 Nocturnes for Cello and Guitar: Nocturne No. 2 in F Major - Adagio cantabile,Friedrich Burgmüller,23,0.275,0.0319,5.0,-24.827,0.0497,0.989,0.892,0.11,0.208,122.99,224.0
